LOM 2019 11
LOR 2015 4
LOR 2016 1
LOR 2017 6
LOR 2018 4
LOR 2019 4
LOS 2014 29
LOS 2015 38
LOS 2016 35
LOS 2017 18
LOS 2018 40
LOS 2019 18
LVN 2014 10
LVN 2015 8
LVN 2016 16
LVN 2017 5
LVN 2018 17
LVN 2019 2
MAN 2014 4
MAN 2015 2
MAN 2016 2
MAN 2017 6
MAN 2018 &
MAN 2019 4
MAR 2014 7
MAR 2015 16
MAR 2016 28
MAR 2017 15
MAR 2018 1?
MAR 2019 12
McD 2014 3
McD 2015 6
MCD 2016 12
McD 2017 7
MCD 2018 1?
McD 2019 6
MICK 2014 i)
MICK 2015 5
MICK 2016 5
MICK 2017 1?
MICK 2018 10
MCK 2019 1
MCR 2014 6
MCR 2015 18
MCR 2016 15
DOJ-OGR-00023990
