Page 133 ~ b6 - 1; b/c - 1; b7D - 1;

Page 134 ~ b6 - 1; b/c - 1; b7D - 1;

Page 135 ~ b6 - 1,-5; b/c - 1,-5; b7D - 1;

Page 136 ~ b6 - 1,-5; b/c - 1,-5; b7D - 1;

Page 137 ~ b6 - 1; b/c - 1; b7D - 1;

Page 138 ~ b6 - 1; b/c - 1; b7D - 1;

Page 139 ~ b6 - 1,-5; b/c - 1,-5; b7D - 1;

Page 140 ~ b6 - 1,-5; b/c - 1,-5; b7D - 1;

Page 141 ~ b6 - 1,-5; b/c - 1,-5; b7D - 1;

Page 142 ~ b6 - 1; b/c - 1; b7D - 1;

Page 143 ~ b6 - 1; b/c - 1; b7D - 1;

Page 144 ~ b6 - 1,-5; b7C - 1,-5; b7D - 1;

Page 145 ~ b6 - 1,-5; b/c - 1,-5; b7D - 1;

Page 146 ~ b6 - 1,-5; b/c - 1,-5; b7D - 1;

Page 147 ~ b6 - 1; b/c - 1; b7D - 1;

Page 148 ~ b6 - 1; b/c - 1; b7D - 1;

Page 149 ~ b6 - 1,-5; b7C - 1,-5; b7D - 1;

Page 158 ~ b6 - 5; b7c - 5;

Page 167 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 168 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 169 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 170 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 171 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 172 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 173 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 174 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 175 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 176 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 177 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 178 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 179 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 180 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 190 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 191 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 192 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 193 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 194 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 195 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 196 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 197 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 198 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 199 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 200 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 201 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 202 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 203 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 204 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 205 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 206 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 207 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 208 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 209 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 210 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;

Page 211 ~ b3 - 1; b6 - 3,-5; b7C - 3,-5; b7D - 1;
DOJ-OGR-00030153
